,file,class,method,constructor,line,cbo,cboModified,fanin,wmc,rfc,loc,hasJavaDoc
115,D:\University\Year 2\cse2115\SEM18b\.\example-microservice\src\main\java\nl\tudelft\sem\template\example\authentication\JwtTokenVerifier.java,nl.tudelft.sem.template.example.authentication.JwtTokenVerifier,validateToken/1[java.lang.String],False,21,1,9,8,1,1,3,True
116,D:\University\Year 2\cse2115\SEM18b\.\example-microservice\src\main\java\nl\tudelft\sem\template\example\authentication\JwtTokenVerifier.java,nl.tudelft.sem.template.example.authentication.JwtTokenVerifier,isTokenExpired/1[java.lang.String],False,33,1,2,1,1,2,4,False
117,D:\University\Year 2\cse2115\SEM18b\.\authentication-microservice\src\main\java\nl\tudelft\sem\template\authentication\domain\notification\NotificationRepository.java,nl.tudelft.sem.template.authentication.domain.notification.NotificationRepository,findById/1[int],False,16,1,1,1,1,0,1,False
118,D:\University\Year 2\cse2115\SEM18b\.\authentication-microservice\src\main\java\nl\tudelft\sem\template\authentication\domain\notification\NotificationRepository.java,nl.tudelft.sem.template.authentication.domain.notification.NotificationRepository,findAll/0,False,13,1,1,1,1,0,1,False
119,D:\University\Year 2\cse2115\SEM18b\.\commons\src\main\java\nl\tudelft\sem\template\commons\models\hoa\HoaRequestModel.java,nl.tudelft.sem.template.commons.models.hoa.HoaRequestModel,"HoaRequestModel/3[java.lang.String,java.lang.String,java.lang.String]",True,11,0,3,3,1,0,4,False
120,D:\University\Year 2\cse2115\SEM18b\.\commons\src\main\java\nl\tudelft\sem\template\commons\models\hoa\HoaRequestModel.java,nl.tudelft.sem.template.commons.models.hoa.HoaRequestModel,anyNull/0,False,16,0,1,1,2,1,3,False
121,D:\University\Year 2\cse2115\SEM18b\.\requirements-microservice\src\main\java\nl\tudelft\sem\template\requirements\repositories\ReportRepository.java,nl.tudelft.sem.template.requirements.repositories.ReportRepository,findAll/0,False,11,1,2,2,1,0,1,False
122,D:\University\Year 2\cse2115\SEM18b\.\requirements-microservice\src\main\java\nl\tudelft\sem\template\requirements\repositories\ReportRepository.java,nl.tudelft.sem.template.requirements.repositories.ReportRepository,findById/1[int],False,14,1,1,1,1,0,1,False
123,D:\University\Year 2\cse2115\SEM18b\.\commons\src\main\java\nl\tudelft\sem\template\commons\models\notification\NewNotification.java,nl.tudelft.sem.template.commons.models.notification.NewNotification,getUsernames/0,False,27,0,1,1,1,0,3,False
124,D:\University\Year 2\cse2115\SEM18b\.\commons\src\main\java\nl\tudelft\sem\template\commons\models\notification\NewNotification.java,nl.tudelft.sem.template.commons.models.notification.NewNotification,"NewNotification/2[java.util.List<java.lang.String>,nl.tudelft.sem.template.commons.models.notification.NotificationType]",True,22,1,0,0,1,0,4,False
125,D:\University\Year 2\cse2115\SEM18b\.\commons\src\main\java\nl\tudelft\sem\template\commons\models\notification\NewNotification.java,nl.tudelft.sem.template.commons.models.notification.NewNotification,getNotificationType/0,False,31,1,0,0,1,0,3,False
126,D:\University\Year 2\cse2115\SEM18b\.\requirements-microservice\src\test\java\nl\tudelft\sem\template\requirements\integration\RequirementsControllerTest.java,nl.tudelft.sem.template.requirements.integration.RequirementsControllerTest,getReportsTest/0,False,150,4,2,0,1,18,9,False
127,D:\University\Year 2\cse2115\SEM18b\.\requirements-microservice\src\test\java\nl\tudelft\sem\template\requirements\integration\RequirementsControllerTest.java,nl.tudelft.sem.template.requirements.integration.RequirementsControllerTest,setup/0,False,52,3,2,0,1,0,5,False
128,D:\University\Year 2\cse2115\SEM18b\.\requirements-microservice\src\test\java\nl\tudelft\sem\template\requirements\integration\RequirementsControllerTest.java,nl.tudelft.sem.template.requirements.integration.RequirementsControllerTest,hello/0,False,70,1,0,0,1,7,3,False
129,D:\University\Year 2\cse2115\SEM18b\.\requirements-microservice\src\test\java\nl\tudelft\sem\template\requirements\integration\RequirementsControllerTest.java,nl.tudelft.sem.template.requirements.integration.RequirementsControllerTest,testCreateReportFail/0,False,115,3,2,0,1,12,6,False
130,D:\University\Year 2\cse2115\SEM18b\.\requirements-microservice\src\test\java\nl\tudelft\sem\template\requirements\integration\RequirementsControllerTest.java,nl.tudelft.sem.template.requirements.integration.RequirementsControllerTest,testCreateReport/0,False,99,5,3,0,1,17,9,False
131,D:\University\Year 2\cse2115\SEM18b\.\requirements-microservice\src\test\java\nl\tudelft\sem\template\requirements\integration\RequirementsControllerTest.java,nl.tudelft.sem.template.requirements.integration.RequirementsControllerTest,getRequirementsTest/0,False,126,4,2,0,1,18,9,False
